playlist_id,track_ids
3,11327 4379 6957 6153 9740 10654 10838 3602 12466 7578
6,17464 1970 16632 12025 5545 12670 9550 102 2559 6651
7,12788 1651 4052 19674 19638 10290 1127 14400 734 16721
17,7961 9606 9246 13875 1181 19973 1513 18265 10583 13625
18,18578 16345 3130 17476 3264 3438 18678 5390 6881 6877
19,6815 3172 11775 20443 12115 436 2402 1478 13207 20634
20,4393 9105 14591 4186 8058 16760 13101 5251 18637 20084
25,10839 12145 20195 19357 11156 16830 6063 6877 6873 6874
29,5098 5925 8932 6879 6872 6873 6874 6875 6876 6877
34,16501 3139 10001 12033 8349 30 12702 15583 5210 5338
36,19939 12154 968 19241 18007 17355 16640 17334 8357 17865
40,2735 17856 19193 16402 16466 5487 4663 7527 8107 16800
48,6629 648 8767 12639 20634 6879 6873 6874 6875 6876
50,8656 15954 15643 19578 2330 413 10348 11416 9846 13671
52,14827 11604 20021 10377 369 2692 11768 5441 5815 9441
59,11882 5736 19340 228 12096 4808 19690 5268 3720 17506
60,10201 17192 9467 8662 694 13374 11702 1948 6875 6876
64,8736 7405 12051 9909 17746 12753 14128 15038 12507 5604
77,3002 17686 19364 13158 9569 3709 18265 17920 3537 6651
80,9067 6465 5415 16662 9961 19444 9594 4185 18382 6862
83,2736 2022 951 7479 18435 9271 2012 6196 715 19022
85,1852 11679 1121 12438 17901 16116 11071 18381 16760 8058
88,693 11627 8834 17002 11518 14400 15740 19362 18033 17192
89,1987 158 10885 5572 14738 835 16262 9715 7325 5169
98,17944 1655 13142 11518 13498 13158 19075 18190 2494 6651
106,15320 10037 2503 19216 10768 2700 15023 5046 1328 12949
107,10723 20105 15970 7761 314 4931 11457 1626 20048 15374
115,7649 2503 18986 18653 15951 19790 3519 6109 16369 6877
138,16342 3183 6257 12416 20501 8082 2139 18011 14210 2836
141,16535 5647 11779 15229 13645 18863 11900 12414 381 3460
142,16255 16227 12658 8348 11497 969 19995 18293 714 19482
143,10610 8367 8118 20483 19160 5122 19064 15681 6056 3542
149,8990 14395 4569 4460 7610 42 15314 17432 5978 20025
164,12056 3161 1574 15584 14978 16263 6374 9648 19347 16067
169,13043 11635 7593 6296 15234 12974 6101 7399 9998 9965
